company_id,country,sector,employees,annual_revenue,tech_adoption_level,main_challenges,digital_tools_used,growth_last_yr,funding_status,female_owned,remote_work_policy
136,Kenya,Farming,159,161777,Medium,Regulation,WhatsApp,14,Series A,Yes,Partial
137,Kenya,Logistics,279,431107,Low,Skills,"Google My Business, POS, E-commerce",24,None,No,None
138,Kenya,Retail,390,63579,Medium,Regulation,"CRM, Mobile money, WhatsApp",5,None,No,Full
139,Kenya,Retail,140,161963,Low,"Awareness, Regulation","E-commerce, WhatsApp, CRM",50,Seed,No,Partial
140,Rwanda,Manufacturing,351,16570,Low,"Skills, Cost","CRM, Mobile money, E-commerce",7,Seed,No,None
141,Kenya,Education,294,21641,High,"Cost, Skills",Mobile money,30,Bootstrapped,Yes,Partial
142,Rwanda,Retail,153,349947,High,Internet,"E-commerce, Mobile money, Google My Business",44,Seed,No,Partial
143,South Africa,Finance,360,413020,Medium,"Cost, Regulation","WhatsApp, Google My Business",15,Seed,Yes,None
144,Nigeria,Farming,69,308236,Medium,Internet,"Google My Business, WhatsApp",-1,None,Yes,None
145,Nigeria,Retail,459,78281,Medium,"Awareness, Cost",E-commerce,32,Seed,No,Partial
146,Rwanda,Retail,278,230516,Medium,Internet,"Mobile money, E-commerce",49,Seed,Yes,Partial
147,Kenya,Education,44,384190,Low,Awareness,"E-commerce, POS, Mobile money",10,Series A,Yes,Partial
148,Rwanda,Farming,96,316395,High,Awareness,POS,7,None,Yes,Full
149,Nigeria,Finance,365,321333,High,Cost,E-commerce,50,Bootstrapped,No,Full
150,South Africa,Finance,84,425923,High,Skills,"Mobile money, CRM",4,Series A,Yes,Partial
151,Rwanda,Retail,481,208601,Medium,Regulation,"POS, E-commerce, WhatsApp",7,Series A,No,Partial
152,Nigeria,Manufacturing,483,287975,High,"Awareness, Regulation","CRM, Google My Business",22,Seed,Yes,Full
153,Nigeria,Manufacturing,462,453120,High,Skills,CRM,13,Bootstrapped,No,None
154,Ghana,Retail,407,57542,High,"Cost, Awareness","Google My Business, WhatsApp",-2,Seed,No,None
155,Nigeria,Manufacturing,19,465215,Medium,Regulation,"Google My Business, POS, Mobile money",34,Bootstrapped,Yes,Partial
156,South Africa,Education,359,195778,Medium,"Internet, Skills",POS,28,Series A,No,Partial
157,Rwanda,Manufacturing,183,424064,Low,Awareness,POS,7,Series A,No,Partial
158,Kenya,Farming,369,424805,Medium,"Internet, Cost","CRM, Mobile money, WhatsApp",27,Series A,No,Full
159,Nigeria,Farming,225,102416,Low,Awareness,"E-commerce, CRM",25,Bootstrapped,Yes,Partial
160,South Africa,Manufacturing,357,210917,High,Cost,"CRM, Google My Business",25,Series A,No,None
161,Rwanda,Manufacturing,131,17802,Medium,Skills,Google My Business,-4,None,Yes,Partial
162,Nigeria,Finance,246,314926,Low,Internet,"WhatsApp, E-commerce",48,Bootstrapped,No,Full
163,South Africa,Finance,155,316765,Low,"Skills, Cost","CRM, Google My Business, Mobile money",33,Series A,No,Partial
164,Nigeria,Logistics,325,230687,Medium,Cost,"Mobile money, CRM, E-commerce",1,Seed,Yes,Partial
165,Kenya,Manufacturing,141,256535,High,Internet,"E-commerce, CRM",19,Series A,Yes,Full
166,Kenya,Logistics,135,140669,Medium,"Cost, Regulation",CRM,46,Seed,No,Partial
167,South Africa,Finance,327,379471,High,"Skills, Cost",Google My Business,48,Bootstrapped,Yes,Partial
168,Kenya,Manufacturing,310,256315,Medium,Skills,"Mobile money, POS, E-commerce",49,Seed,No,None
169,Ghana,Education,443,99741,Medium,"Internet, Skills",E-commerce,34,None,Yes,Full
170,Nigeria,Retail,129,463682,Medium,Skills,"CRM, Mobile money, E-commerce",30,Bootstrapped,No,None
171,Ghana,Education,8,424545,Low,Regulation,WhatsApp,10,Series A,Yes,Partial
172,South Africa,Education,286,355077,High,"Regulation, Awareness","WhatsApp, CRM, POS",28,Bootstrapped,No,Full
173,South Africa,Logistics,248,47735,Medium,"Awareness, Regulation",CRM,49,Seed,Yes,None
174,Rwanda,Finance,379,240158,High,"Skills, Awareness","Google My Business, E-commerce",28,Series A,No,Partial
175,Rwanda,Education,307,114024,High,Skills,"CRM, WhatsApp",16,None,No,Full
176,Kenya,Education,71,243526,High,Skills,"E-commerce, POS, Google My Business",47,Bootstrapped,No,None
177,Ghana,Manufacturing,363,234590,Low,Internet,WhatsApp,-1,Series A,Yes,Full
178,Rwanda,Education,183,182561,High,"Internet, Regulation",E-commerce,1,Bootstrapped,No,Partial
179,Rwanda,Farming,325,178572,Medium,"Skills, Regulation",Google My Business,5,Bootstrapped,No,None
180,Kenya,Manufacturing,260,215014,Low,"Internet, Cost",CRM,-2,Seed,Yes,Partial
181,Kenya,Farming,178,274265,Medium,Cost,"CRM, E-commerce",-1,Series A,No,None
182,South Africa,Retail,203,351802,Medium,"Cost, Regulation","Google My Business, WhatsApp, POS",19,None,No,Full
183,Ghana,Logistics,184,10710,High,Regulation,Mobile money,28,Bootstrapped,No,None
184,Nigeria,Education,279,86219,Low,"Cost, Regulation","E-commerce, WhatsApp, Google My Business",29,Series A,No,Full
185,Ghana,Manufacturing,231,26053,Medium,Cost,"CRM, POS, WhatsApp",17,Bootstrapped,No,None
186,Ghana,Retail,8,58754,High,Internet,"Mobile money, POS, E-commerce",28,None,No,Partial
187,Nigeria,Retail,162,257412,High,"Awareness, Cost","Mobile money, WhatsApp",12,Seed,No,None
188,Ghana,Farming,13,480194,High,"Internet, Skills","Mobile money, WhatsApp",48,Bootstrapped,No,Full
189,Ghana,Logistics,357,28177,Low,"Awareness, Cost",E-commerce,48,Seed,Yes,Full
190,Nigeria,Manufacturing,314,255808,Medium,"Skills, Internet",POS,28,None,No,Partial
191,Nigeria,Manufacturing,34,120071,Low,"Awareness, Skills","Google My Business, POS, CRM",33,None,Yes,Full
192,Ghana,Retail,283,481350,Medium,"Cost, Regulation","Mobile money, Google My Business, E-commerce",1,Seed,No,None
193,South Africa,Logistics,46,91757,Medium,"Cost, Awareness",Google My Business,14,Bootstrapped,No,Full
194,Rwanda,Manufacturing,28,337495,High,"Awareness, Regulation",CRM,46,None,Yes,None
195,Ghana,Manufacturing,423,394012,Low,Awareness,E-commerce,21,Bootstrapped,No,None
196,Ghana,Retail,442,249641,Low,Cost,Mobile money,41,Seed,No,None
197,Kenya,Finance,179,469208,Medium,Regulation,"Mobile money, WhatsApp, Google My Business",14,None,No,Full
198,Rwanda,Farming,156,145304,High,"Internet, Awareness","CRM, Mobile money, Google My Business",-3,None,No,Partial
199,Nigeria,Finance,442,252380,Low,Internet,"Mobile money, POS",43,None,No,None
200,South Africa,Finance,107,160194,High,Internet,"POS, Mobile money, E-commerce",46,None,Yes,Full
201,Rwanda,Finance,180,134854,Medium,"Skills, Internet","WhatsApp, E-commerce",11,Seed,No,None
202,South Africa,Farming,70,310867,Low,"Internet, Awareness","WhatsApp, E-commerce",42,Series A,No,None
203,Rwanda,Finance,490,404943,High,Regulation,E-commerce,10,Bootstrapped,No,Partial
204,Kenya,Logistics,366,440332,Medium,Internet,"CRM, WhatsApp, Mobile money",16,None,No,None
205,South Africa,Manufacturing,354,103892,Medium,Internet,"Google My Business, E-commerce, POS",10,Seed,Yes,Partial
206,Ghana,Manufacturing,197,482953,High,"Cost, Skills","E-commerce, WhatsApp",43,None,No,Full
207,Ghana,Retail,154,116776,High,"Awareness, Regulation","Mobile money, CRM, Google My Business",30,Seed,Yes,Full
208,Nigeria,Education,256,259612,High,Awareness,E-commerce,5,None,Yes,None
209,Nigeria,Farming,295,71341,Low,Internet,"E-commerce, WhatsApp",21,None,Yes,Partial
210,Nigeria,Finance,35,119989,Low,"Awareness, Cost",CRM,9,None,No,None
211,Kenya,Logistics,25,370537,High,"Awareness, Regulation","Mobile money, WhatsApp, Google My Business",6,Series A,Yes,None
212,Nigeria,Education,240,205655,Low,"Cost, Awareness","POS, WhatsApp",46,None,No,Full
213,Rwanda,Finance,191,267249,Medium,Skills,"E-commerce, POS",6,Bootstrapped,Yes,Partial
214,Kenya,Retail,84,145080,Low,"Awareness, Internet",E-commerce,12,Series A,No,Full
215,Nigeria,Finance,32,410022,Medium,Skills,Google My Business,48,Bootstrapped,Yes,None
216,Rwanda,Finance,227,57581,Medium,Skills,WhatsApp,43,None,No,None
217,Ghana,Finance,220,336935,High,Regulation,E-commerce,47,Seed,Yes,Full
218,Kenya,Manufacturing,481,85638,Medium,Regulation,"Google My Business, CRM, POS",26,Bootstrapped,No,Full
219,Kenya,Farming,359,208811,Medium,"Internet, Cost",Mobile money,16,Bootstrapped,No,Full
220,Kenya,Retail,200,30189,High,"Regulation, Internet",Google My Business,28,None,No,Full
221,Rwanda,Finance,205,77625,High,"Awareness, Regulation",Mobile money,2,Bootstrapped,Yes,Partial
222,Kenya,Manufacturing,252,202194,High,Internet,"Google My Business, Mobile money, E-commerce",32,Bootstrapped,No,None
223,Nigeria,Farming,387,70057,High,"Skills, Awareness","Mobile money, CRM",5,Seed,No,Full
224,Kenya,Education,128,245689,Low,Regulation,Mobile money,2,Bootstrapped,Yes,Partial
225,Nigeria,Education,463,211322,Low,"Regulation, Internet","E-commerce, CRM",25,Seed,Yes,Full
226,Rwanda,Finance,270,414719,Low,"Skills, Cost",WhatsApp,8,Series A,Yes,None
227,South Africa,Manufacturing,314,404927,Medium,Regulation,"POS, WhatsApp",-4,None,No,None
228,Rwanda,Education,339,95485,Low,"Regulation, Awareness","Google My Business, E-commerce, POS",1,Series A,Yes,Partial
229,Nigeria,Retail,388,483646,Medium,"Awareness, Skills","E-commerce, Google My Business, Mobile money",-4,Bootstrapped,No,Partial
230,Nigeria,Retail,188,355058,High,"Cost, Regulation","E-commerce, Google My Business",-3,Series A,No,Full
231,Nigeria,Finance,152,140208,Low,"Cost, Skills","Google My Business, POS",17,Bootstrapped,No,Full
232,South Africa,Finance,55,254735,Medium,"Cost, Regulation",WhatsApp,18,None,No,None
233,Nigeria,Manufacturing,435,187850,High,"Internet, Awareness","CRM, POS",15,Bootstrapped,Yes,Full
234,South Africa,Manufacturing,10,386069,Low,Internet,Google My Business,-3,None,No,None
235,Nigeria,Finance,425,157125,Low,"Cost, Internet","CRM, WhatsApp",4,None,No,Partial
236,Rwanda,Manufacturing,463,381077,Medium,Regulation,"Google My Business, E-commerce",-1,Seed,No,Full
237,Ghana,Manufacturing,323,114610,Medium,Regulation,"CRM, E-commerce",17,Seed,No,None
238,Nigeria,Finance,425,452693,Low,"Internet, Cost",Mobile money,38,Bootstrapped,No,Full
239,Nigeria,Education,224,132693,Medium,Awareness,"WhatsApp, POS, CRM",18,Bootstrapped,No,Full
240,Ghana,Education,237,214214,Low,"Awareness, Skills",POS,14,Series A,No,Partial
241,Kenya,Farming,138,200376,High,Awareness,E-commerce,39,None,No,Full
242,Ghana,Retail,271,57662,High,"Skills, Awareness",E-commerce,20,Series A,Yes,Full
243,Ghana,Education,105,343093,High,Cost,"CRM, Mobile money",-3,Seed,Yes,Partial
244,Nigeria,Logistics,267,492777,High,"Skills, Cost","POS, WhatsApp",40,Series A,Yes,None
245,Kenya,Farming,454,126376,High,Awareness,"WhatsApp, Mobile money",1,None,Yes,Full
246,Ghana,Logistics,161,143310,Low,Regulation,"Mobile money, CRM",49,Series A,Yes,Partial
247,Kenya,Logistics,192,352187,Low,"Regulation, Awareness","CRM, POS",44,Series A,No,Full
248,Nigeria,Finance,337,118916,Low,Regulation,"Google My Business, POS, Mobile money",41,Seed,No,Partial
249,Ghana,Finance,243,423559,Medium,"Internet, Skills","POS, Mobile money, Google My Business",6,Seed,Yes,None
250,Ghana,Farming,489,277388,Low,Awareness,"Google My Business, POS",30,Seed,No,None
251,South Africa,Farming,423,44915,High,Awareness,Mobile money,9,Seed,Yes,Partial
252,Ghana,Education,315,97863,Low,Internet,POS,46,Bootstrapped,No,Full
253,Rwanda,Education,233,473445,High,Awareness,"WhatsApp, E-commerce",25,Seed,Yes,Partial
254,South Africa,Finance,449,192211,Low,"Internet, Cost","Google My Business, Mobile money",48,Bootstrapped,No,None
255,Nigeria,Retail,239,335998,Medium,Internet,"E-commerce, Mobile money",41,Series A,No,None
256,Nigeria,Manufacturing,456,315429,High,Regulation,E-commerce,29,Seed,No,Partial
257,Nigeria,Retail,263,119307,High,Cost,"POS, Mobile money, E-commerce",26,Bootstrapped,No,None
258,Rwanda,Manufacturing,384,159394,Low,"Awareness, Internet","E-commerce, Mobile money",24,Seed,No,Partial
259,Kenya,Manufacturing,307,133696,Low,Internet,"E-commerce, Mobile money, Google My Business",29,Series A,No,Full
260,Ghana,Finance,446,222690,Medium,"Cost, Regulation",WhatsApp,30,Series A,Yes,Full
261,South Africa,Education,116,238530,Medium,"Cost, Regulation","Mobile money, CRM, E-commerce",47,Bootstrapped,No,Full
262,Nigeria,Manufacturing,297,222329,Low,Cost,CRM,7,Seed,Yes,Full
263,Ghana,Finance,444,62957,Medium,"Skills, Internet","Google My Business, WhatsApp, POS",-5,None,Yes,Full
264,Kenya,Retail,101,248626,Low,"Regulation, Skills",Mobile money,33,Seed,Yes,None
265,Ghana,Manufacturing,369,276142,High,Regulation,"CRM, WhatsApp, E-commerce",44,Bootstrapped,No,Full
266,Rwanda,Retail,460,115486,Medium,Internet,"Google My Business, WhatsApp, E-commerce",35,None,No,None
267,Ghana,Manufacturing,328,270022,High,"Skills, Internet","Google My Business, WhatsApp",26,Series A,Yes,Full
268,Ghana,Finance,81,353364,Low,"Internet, Skills",WhatsApp,32,Seed,No,Full
269,Nigeria,Farming,423,345545,Medium,"Awareness, Cost",E-commerce,9,None,No,Full
270,Ghana,Retail,426,51549,Medium,Skills,"Mobile money, E-commerce, POS",35,Bootstrapped,Yes,Partial
271,Kenya,Manufacturing,105,170534,Medium,Regulation,CRM,7,Series A,Yes,Full
272,Kenya,Manufacturing,136,315223,Low,"Skills, Internet","E-commerce, Google My Business, WhatsApp",44,Bootstrapped,Yes,Full
273,Rwanda,Finance,425,299928,High,"Awareness, Cost","Google My Business, WhatsApp, E-commerce",35,None,No,None
274,Kenya,Farming,348,223314,Low,Internet,"Google My Business, POS",32,Bootstrapped,Yes,None
275,Nigeria,Finance,46,181863,Low,"Skills, Internet",POS,41,Series A,Yes,None
